smiles,pka_values
OCCNCCc1ccccn1,"3.15, 7.94"
CC(C)[C@H](N)C(=O)NCC(O)=O,"3.1, 7.95"
CC(C)[C@H](N)C(=O)N[C@@H](C(C)C)C(O)=O,"3.4, 7.96"
CC(C)[C@H](N)C(=O)N[C@@H](C)C(O)=O,"3.32, 7.92"
OCC1=CC(=O)C(=C(CN2CCCCC2)O1)O,"6.36, 9.2"
OCC1=CC(=O)C(=C(CN2CCOCC2)O1)O,"5.03, 7.86"
CC(C)[C@H](N)C(=O)N[C@H](C(C)C)C(O)=O,"3.04, 8.22"
CC(C)[C@H](N)C(O)=O,"2.27, 9.52"
OC(Cc1c[nH]cn1)C(O)=O,"3.0, 7.31"
CC(C)C[C@H](NC(=O)[C@@H](C)N)C(O)=O,"3.14, 8.23"
CC(C)C[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)CN)C(O)=O,"3.46, 8.15"
CC(C)C[C@H](NC(=O)[C@@H](N)CO)C(O)=O,"3.08, 7.45"
CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)CN,"7.94, 9.85"
CNCC(=O)NCC(=O)NCC(=O)NCC(O)=O,"3.34, 8.39"
OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,"1.9, 6.62"
OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,"2.15, 6.633333333333333"
OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,"1.3, 6.529999999999999"
OC(C(O)C(O)=O)C(O)=O,"2.97, 4.49"
OC(C(O)C(O)C(O)=O)C(O)C(O)=O,"3.16, 3.86"
OC(CC(O)=O)C(O)=O,"3.265, 4.715"
CC1(F)CNCCNCCCNCCNC1,"9.69, 11.34"
