Name,smiles,E12,Metal,Reaction,SMILES,solvent
"Hexahydropyrazolo[1,2-a]pyrazole",C1CN2CCCN2C1,-0.36,None,reduction,C1CN2CCCN2C1,ACN
"1,2-dimethylpyrazolidine",CN1CCCN1C,-0.33,None,reduction,CN1CCCN1C,ACN
"2,3-Diazabicyclo(2.2.2)octane, 2,3-dimethyl-",CN1C2CCC(N1C)CC2,-0.29,None,reduction,CN1C2CCC(N1C)CC2,ACN
"Pyridazine, hexahydro-1,2,3,6-tetramethyl-, cis-",CC1CCC(N(N1C)C)C,-0.24,None,reduction,CC1CCC(N(N1C)C)C,ACN
"1,2-dimethylhexahydropyridazine",CN1CCCCN1C,-0.21,None,reduction,CN1CCCCN1C,ACN
"1,2-Diazacyclohex-4-ene, 1,2-dimethyl-",CN1CC=CCN1C,-0.1099999999999999,None,reduction,CN1CC=CCN1C,ACN
"1,6-Diazabicyclo(4.4.0)decane",C1CCN2CCCCN2C1,-0.16,None,reduction,C1CCN2CCCCN2C1,ACN
"3,4-diethyl-1,3,4-oxadiazolidine",CCN1COCN1CC,0.17,None,oxidation,CCN1COCN1CC,ACN
"1,2,4,5-Tetraazacyclohexane, 1,2,4,5-tetramethyl-",CN1CN(N(CN1C)C)C,-0.0699999999999999,None,reduction,CN1CN(N(CN1C)C)C,ACN
"2,3-Diazabicyclo[2.2.1]hept-2-ene",C1CC2CC1N=N2,1.58,None,oxidation,C1CC2CC1N=N2,ACN
"7,7-dimethyl-2,3-diazabicyclo[2.2.1]hept-2-ene",CC1(C2CCC1N=N2)C,1.46,None,oxidation,CC1(C2CCC1N=N2)C,ACN
"1,4-dimethyl-2,3-diazabicyclo[2.2.1]hept-2-ene",CC12CCC(C1)(N=N2)C,1.2000000000000002,None,oxidation,CC12CCC(C1)(N=N2)C,ACN
"2,3-diazabicyclo[2.2.2]oct-2-ene",C1CC2CCC1N=N2,1.06,None,oxidation,C1CC2CCC1N=N2,ACN
"1,4-Dimethyl-2,3-diaza-bicyclo(2.2.2)oct-2-ene",CC12CCC(CC1)(N=N2)C,0.95,None,oxidation,CC12CCC(CC1)(N=N2)C,ACN
"methyl 3,5,5-trimethyl-4,5-dihydro-3H-pyrazole-3-carboxylate",CC1(CC(N=N1)(C)C(=O)OC)C,1.66,None,oxidation,CC1(CC(N=N1)(C)C(=O)OC)C,ACN
"3,4-diazatricyclo[4.2.1.02,5]nona-3,7-diene",C1C2C=CC1C3C2N=N3,1.91,None,oxidation,C1C2C=CC1C3C2N=N3,ACN
N-[(E)-diethylaminodiazenyl]-N-ethylethanamine,CCN(CC)/N=N/N(CC)CC,-0.0699999999999999,None,reduction,CCN(CC)N=NN(CC)CC,ACN
"2,2'-Bipyridine",C1=CC=NC(=C1)C2=CC=CC=N2,-3.6499999999999995,None,reduction,C1=CC=NC(=C1)C2=CC=CC=N2,ACN
"1,10-phenanthroline",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,-3.51,None,reduction,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,ACN
"3,3'-Azotoluene",CC1=CC(=CC=C1)N=NC2=CC=CC(=C2)C,"-2.8999999999999995,-3.5299999999999994",None,reduction,CC1=CC(=CC=C1)N=NC2=CC=CC(=C2)C,ACN
"1,1'-Azonaphthalene",C1=CC=C2C(=C1)C=CC=C2N=NC3=CC=CC4=CC=CC=C43,"-2.6499999999999995,-3.2099999999999995",None,reduction,C1=CC=C2C(=C1)C=CC=C2N=NC3=CC=CC4=CC=CC=C43,ACN
"2,2'-Azonaphthalene",C1=CC=C2C=C(C=CC2=C1)N=NC3=CC4=CC=CC=C4C=C3,"-2.7399999999999998,-3.2699999999999996",None,reduction,C1=CC=C2C=C(C=CC2=C1)N=NC3=CC4=CC=CC=C4C=C3,ACN
"4,4'-Azobiphenyl",C1=CC=C(C=C1)C2=CC=C(C=C2)N=NC3=CC=C(C=C3)C4=CC=CC=C4,"-2.7399999999999998,-3.2899999999999996",None,reduction,C1=CC=C(C=C1)C2=CC=C(C=C2)N=NC3=CC=C(C=C3)C4=CC=CC=C4,ACN
"4,4'-Azopyridine",C1=CN=CC=C1N=NC2=CC=NC=C2,"-2.32,-3.05",None,reduction,C1=CN=CC=C1N=NC2=CC=NC=C2,ACN
"2,3-Dimethylnaphthalene",CC1=CC2=CC=CC=C2C=C1C,"0.993,1.253",None,oxidation,CC1=CC2=CC=CC=C2C=C1C,ACN
Indan,C1CC2=CC=CC=C2C1,"1.503,1.933",None,oxidation,C1CC2=CC=CC=C2C1,ACN
Tetracene,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,"0.453,1.113",None,oxidation,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,ACN
"1,2-Benzanthracene",C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,"0.913,1.003",None,oxidation,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,ACN
Pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,"0.973,1.153",None,oxidation,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,ACN
Chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,"1.133,1.183",None,oxidation,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,ACN
Triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,"1.373,1.463",None,oxidation,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,ACN
"1,2,5,6-Dibenzanthracene",C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,"0.913,1.173",None,oxidation,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,ACN
