,Complex,Metal,Solvent,E12,smiles,Reaction,redox_site_smiles
40,ADEJOK,Fe2,ACN,0.52,CC(C)(C)C1=CC2=C3C=C(C(C)(C)C)C=CN3[Fe+2]34(N2C=C1)(N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN13)N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN14,oxidation,[Fe+2]
41,ADEJOK,Fe2,ACN,"-1.85,-2.04,-2.28",CC(C)(C)C1=CC2=C3C=C(C(C)(C)C)C=CN3[Fe+2]34(N2C=C1)(N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN13)N1C=CC(C(C)(C)C)=CC1=C1C=C(C(C)(C)C)C=CN14,reduction,CC(C)(C)C1=CC(=C2C=C(C(C)(C)C)C=CN2)NC=C1
42,AGUYUW,Fe2,DCM,0.65,CCC[OH][Fe+2]123([OH]CCC)N4C5=C(C6=N1C(=C(C1=C(C(=C(N21)C(=C1N3=C(C(=C4C(=C5N(=O)=O)N(=O)=O)c2c(Cl)cccc2Cl)C(=C1N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl)N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl)C(=C6N(=O)=O)N(=O)=O)c1c(Cl)cccc1Cl,oxidation,[Fe+2]
43,AHINIR,Fe2,ACN,0.0,Cl[Fe+2]123(Cl)n4ccc(cc4CN1(C)CCN2(C)Cc1cc(ccn31)N(=O)=O)N(=O)=O,oxidation,[Fe+2]
44,AHINOX,Fe2,ACN,0.74,CC#N[Fe+2]123(N#CC)n4ccccc4CN1(C)CCN2(C)Cc1ccccn31,oxidation,[Fe+2]
45,AHINUD,Fe2,ACN,0.96,CC#N[Fe+2]123(N#CC)n4ccc(cc4CN1(C)CCN2(C)Cc1cc(ccn31)N(=O)=O)N(=O)=O,oxidation,[Fe+2]
46,DOMNAV,Fe2,ACN,-0.145,Cl[Fe+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1cccc(C)n31,oxidation,[Fe+2]
47,DOMNEZ,Fe2,ACN,-0.025,[Fe+2]123(Cl)(Cl)[N](C[c]4n1cccc4)(C[c]1n2c(ccc1)C)C[c]1n3c(ccc1)C,oxidation,[Fe+2]
48,ELEWUO,Fe2,ACN,-0.17,Cl[Fe+2]123(Cl)n4ccccc4CN1(Cc1ccccn21)Cc1cccc(I)n31,oxidation,[Fe+2]
49,DOMNID,Fe2,ACN,0.09,[Fe+2]12(Cl)(Cl)n3[c](cccc3C)C[N]1(Cc1nc(C)ccc1)Cc1n2[c](ccc1)C,oxidation,[Fe+2]
50,BILXAX,Fe2,DMF,"-0.47,-0.25",O=C1O[Fe+2]234(OC5=C(Oc6ccccc6C5=O2)c2ccccc2)n2ccccc2CN3(Cc2ccccn42)Cc2ccccc12,oxidation,[Fe+2]/O=C1C(O)=C(c2ccccc2)Oc2ccccc21
51,DISWIM,Fe2,ACN,1.51,Brc1ccc(cc1)c1nc2n3c(n1)c1cnccn1[Fe+2]143(n3ccncc23)n2ccncc2c2nc(nc(n12)c1cnccn41)c1ccc(Br)cc1,oxidation,[Fe+2]
52,FIJTIC,Fe2,ACN,0.33,CCN1C=CN2=C1N=N(c1ccc(C)cc1)[Fe+2]12(N=C=S)(N=C=S)N2=C(N=N1c1ccc(C)cc1)N(CC)C=C2,oxidation,[Fe+2]
53,DISWIM,Fe2,ACN,"-0.80,-0.89,-1.51,-1.78",Brc1ccc(cc1)c1nc2n3c(n1)c1cnccncd1[Fe+2]143(n3ccncc23)n2ccncc2c2nc(nc(n12)c1cnccn41)c1ccc(Br)cc1,reduction,Brc1ccc(c2nc(c3cnccn3)nc(c3cnccn3)n2)cc1/Brc1ccc(c2nc(c3cnccn3)nc(c3cnccn3)n2)cc1
